transaction_type,transaction_amount,transaction_date,transaction_note,category,subcategory
Income,109.34,2019-11-18 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,146.48,2023-09-24 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,696.55,2024-01-23 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Expense,305.57,2023-03-30 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,589.59,2019-08-12 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,706.24,2021-08-28 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Income,806.43,2023-11-11 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,802.09,2020-03-25 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,254.54,2020-02-04 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Expense,662.61,2023-03-23 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,123.35,2020-11-25 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,924.85,2023-01-10 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,540.87,2019-05-15 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,740.93,2020-09-25 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,573.5,2020-11-03 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Income,567.15,2019-07-01 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,300.53,2020-02-18 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,245.34,2022-12-28 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,602.84,2020-10-11 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Income,173.74,2021-09-09 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,446.78,2022-11-20 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,966.94,2023-07-04 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,476.21,2022-02-21 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,183.1,2022-07-05 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,264.87,2022-01-01 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,785.04,2023-01-16 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,185.13,2022-09-24 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,132.81,2020-04-01 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,296.39,2021-05-28 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,821.63,2022-03-26 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,880.89,2023-07-02 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,352.44,2023-04-25 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,785.34,2020-05-22 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,87.12,2020-04-29 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,109.61,2023-02-03 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,945.35,2021-06-02 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,102.97,2020-12-25 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,130.44,2023-10-22 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,517.27,2019-02-14 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Expense,466.57,2023-08-06 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,514.93,2019-06-11 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,873.68,2022-11-12 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,475.13,2020-04-16 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,221.79,2022-06-05 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,453.34,2021-12-11 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Expense,269.8,2021-08-06 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,830.96,2023-06-24 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,522.7,2021-12-13 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Expense,14.08,2019-11-05 21:27:32.494381,Transaction for Events,Entertainment,Events
Income,683.56,2021-04-22 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,655.42,2021-09-09 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,123.61,2022-07-30 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,428.67,2023-07-17 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Income,542.43,2022-11-03 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,850.0,2021-12-29 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,220.13,2019-04-10 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,898.85,2023-03-31 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,480.13,2019-05-24 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,579.42,2020-05-05 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,897.9,2022-09-30 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,563.8,2023-07-05 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,634.1,2024-01-21 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,159.95,2022-03-02 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,721.83,2019-07-18 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,41.03,2021-05-30 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,557.48,2019-11-05 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,832.4,2019-12-05 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,105.7,2022-10-14 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,946.63,2022-09-09 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,596.44,2020-11-18 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Expense,166.8,2021-04-19 21:27:32.494381,Transaction for Supplies,Education,Supplies
Income,189.74,2023-08-21 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,928.47,2022-05-12 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,602.57,2020-06-27 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Expense,303.25,2019-10-08 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,918.78,2019-10-22 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,180.51,2021-07-11 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,956.49,2022-02-05 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,249.06,2021-03-30 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,699.5,2023-12-28 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,26.4,2021-01-21 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,85.78,2021-05-25 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,166.06,2022-09-22 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,519.11,2021-09-16 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,171.02,2020-08-25 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,285.63,2020-03-01 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Expense,625.6,2023-06-18 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Expense,144.35,2020-04-13 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,235.26,2022-11-08 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,150.64,2021-07-19 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,144.55,2023-12-13 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,582.96,2021-09-12 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,41.76,2024-01-26 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,488.77,2021-07-25 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,51.92,2021-04-21 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,394.19,2019-05-27 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,180.11,2021-01-18 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,720.04,2021-12-20 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,328.09,2020-08-03 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,162.11,2021-07-03 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,366.39,2020-01-04 21:27:32.494381,Transaction for Books,Education,Books
Expense,929.83,2023-09-14 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,49.13,2019-02-25 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,127.65,2022-12-08 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,317.6,2019-05-22 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,920.16,2019-07-20 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,360.64,2023-05-26 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,730.12,2024-01-07 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,908.62,2021-12-06 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,956.2,2023-06-15 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,856.05,2019-03-14 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,427.16,2020-10-12 21:27:32.494381,Transaction for Alimony,Family,Alimony
Expense,723.2,2021-11-26 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,353.97,2022-03-24 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,333.13,2024-01-14 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,858.16,2021-07-03 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,324.93,2019-04-16 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,333.79,2020-03-17 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,811.54,2022-10-09 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,945.69,2023-01-12 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,308.85,2019-10-19 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,599.47,2019-09-19 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,940.19,2022-05-18 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Income,930.35,2021-03-14 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,23.09,2022-10-23 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,778.6,2023-09-19 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,894.21,2023-05-23 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Expense,498.91,2023-08-29 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Expense,800.37,2023-10-23 21:27:32.494381,Transaction for Phone,Bill & Utilities,Phone
Expense,613.76,2019-03-31 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,987.84,2021-01-12 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,109.84,2024-01-28 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,197.53,2023-04-29 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,212.96,2023-05-07 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,529.3,2023-11-10 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,618.14,2022-10-07 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Expense,389.25,2023-08-02 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,143.21,2021-01-06 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,805.53,2022-09-28 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,832.62,2023-04-09 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,196.08,2019-03-26 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,736.73,2020-06-22 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,901.46,2023-03-12 21:27:32.494381,Transaction for Books,Education,Books
Income,95.7,2023-07-02 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,937.93,2022-09-30 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,755.16,2019-03-21 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,763.87,2020-08-02 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,339.28,2021-05-08 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,966.23,2019-08-14 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,18.86,2022-04-09 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,141.4,2022-11-12 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,241.36,2020-04-21 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,150.36,2023-07-23 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,513.9,2023-03-25 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,746.68,2020-07-17 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,596.09,2021-06-18 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,341.2,2023-07-02 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,971.93,2019-07-21 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,811.91,2022-08-20 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,459.15,2022-07-27 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,675.24,2022-06-27 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,463.02,2023-08-09 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,255.26,2020-08-07 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,359.71,2019-12-08 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,744.45,2019-11-27 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,711.8,2019-05-07 21:27:32.494381,Transaction for Books,Education,Books
Expense,125.04,2019-02-28 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Income,560.56,2023-10-26 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,365.17,2021-01-22 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,498.29,2022-12-27 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,394.34,2021-04-07 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,867.89,2019-04-08 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,171.85,2020-05-22 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,893.82,2023-09-18 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,266.78,2023-07-27 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,907.66,2020-05-31 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
